[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992743 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(71)]main() ###################################################
2026-01-27 08:57:44,ERROR,drive_module_node-18,1769471864.9992983 [drive_module_node-18] [08:57:44.998] [drive_main.cpp(72)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1151447 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(65)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1153884 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(66)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1154737 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(67)]main() agv main module !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1155539 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(68)]main() ###################################################
2026-01-27 08:57:45,ERROR,agv_main_module_node-10,1769471865.1155810 [agv_main_module_node-10] [08:57:45.114] [agv_module_main.cpp(69)]main() ###################################################
2026-01-27 08:57:45,WARN,io_manager_node-9,1769471865.1370757 [io_manager_node-9] [08:57:45.134] [io_manager_controller.cpp(414)]change_io_callback() Ignore IO change event until complete io booting
2026-01-27 08:57:45,WARN,io_manager_node-9,1769471865.1516273 [io_manager_node-9] [08:57:45.150] [io_manager_controller.cpp(414)]change_io_callback() Ignore IO change event until complete io booting
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1815436 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(24)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1816525 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(25)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1817017 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(26)]initialize() MOTOR API START!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1817682 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(27)]initialize() ###################################################
2026-01-27 08:57:45,ERROR,logistics_module_node-19,1769471865.1818123 [logistics_module_node-19] [08:57:45.178] [motor_api.cpp(28)]initialize() ###################################################
